epoch,time_seconds
1,39.929983615875244
2,42.69869780540466
3,42.67209243774414
4,44.93829369544983
5,46.252103328704834
6,44.184229373931885
7,42.70713567733765
8,45.666797161102295
9,46.67008328437805
10,44.474931716918945
11,50.368635416030884
12,47.97941851615906
13,42.790250062942505
14,44.06536936759949
15,43.746639013290405
16,44.18587565422058
17,45.06477642059326
18,80.80542707443237
19,102.23144578933716
20,51.758622884750366
21,49.1252555847168
22,43.08264684677124
23,43.546916246414185
24,42.58736038208008
25,41.459532737731934
26,42.328388690948486
27,41.912617444992065
28,42.59209132194519
29,44.89204502105713
30,47.305132150650024
31,47.81022238731384
32,45.35671091079712
33,44.812926054000854
34,44.278104066848755
35,43.25472927093506
36,43.871310234069824
37,44.48151683807373
38,51.40334177017212
39,52.5024938583374
40,59.13640594482422
41,54.64669322967529
42,62.317034006118774
43,50.401084423065186
44,55.646570444107056
45,61.83713388442993
46,47.62720608711243
47,46.87118077278137
48,50.58141541481018
49,52.28693079948425
50,53.1900954246521
51,51.720670223236084
52,49.709197759628296
53,49.67976999282837
54,48.34658622741699
55,48.89285159111023
56,48.85243248939514
57,49.530051946640015
58,51.09764862060547
59,49.91449546813965
60,49.748481035232544
61,52.28203368186951
62,50.23904633522034
63,49.642717599868774
64,49.07838296890259
65,48.30619263648987
66,49.517308950424194
67,49.074554443359375
68,49.85538578033447
69,48.36103534698486
70,48.63844609260559
71,50.60395407676697
72,60.041303634643555
73,44.30946087837219
74,45.76920986175537
75,44.754401445388794
76,45.88827204704285
77,46.299798250198364
78,45.744423389434814
79,48.88772487640381
80,48.97898316383362
81,47.572686195373535
82,47.019829511642456
83,45.33007621765137
84,47.078657150268555
85,47.69285345077515
86,49.10210132598877
87,48.76885390281677
88,48.82254147529602
89,48.767531871795654
90,46.003255128860474
91,47.95558524131775
92,47.137784242630005
93,42.55744004249573
94,42.47954058647156
95,41.439244747161865
96,43.19270586967468
97,42.08582377433777
98,42.321041107177734
99,41.42410492897034
100,43.04984521865845
