epoch,time_seconds
1,6.386652946472168
2,7.854885101318359
3,7.975705862045288
4,9.103254556655884
5,8.86438536643982
6,8.676612377166748
7,9.254480838775635
8,7.764280557632446
9,7.98463773727417
10,8.224101066589355
11,9.725215196609497
12,8.634250164031982
13,9.132317781448364
14,8.286303043365479
15,10.260012149810791
16,7.8442792892456055
17,8.182361364364624
18,8.20848536491394
19,8.224598407745361
20,8.15453577041626
21,8.133241415023804
22,7.843006134033203
23,7.818164825439453
24,7.992990970611572
25,7.674136638641357
26,8.848804473876953
27,8.751659393310547
28,7.880415439605713
29,9.986373901367188
30,7.990585803985596
31,8.11530065536499
32,7.997071743011475
33,8.420715570449829
34,7.6681671142578125
35,8.329428911209106
36,10.207060098648071
37,9.401139974594116
38,7.946255445480347
39,8.454113960266113
40,8.268703937530518
41,8.163972616195679
42,8.092224359512329
43,7.534364461898804
44,7.889493227005005
45,8.551892042160034
46,7.781130790710449
47,8.294128656387329
48,7.932152032852173
49,8.409062623977661
50,7.659704685211182
51,7.475003242492676
52,7.950120449066162
53,7.725856304168701
54,8.028131008148193
55,8.063934326171875
56,8.376076459884644
57,7.745086193084717
58,8.662813663482666
59,7.694302558898926
60,7.777119159698486
61,7.74132776260376
62,8.076847314834595
63,8.55807876586914
64,8.365424871444702
65,7.664053440093994
66,7.770392417907715
67,8.111100196838379
68,8.89777660369873
69,9.794437885284424
70,7.875806570053101
71,7.582699298858643
72,8.384344577789307
73,9.3101966381073
74,7.92962121963501
75,8.943264484405518
76,6.111940860748291
77,7.782152414321899
78,7.567026138305664
79,9.037151336669922
80,9.439289808273315
81,9.581326723098755
82,9.744486093521118
83,7.777716398239136
84,8.365149021148682
85,8.46759557723999
86,10.265702962875366
87,9.142386436462402
88,10.562142133712769
89,8.125794410705566
90,8.853589296340942
91,8.27183485031128
92,8.095107078552246
93,7.965748071670532
94,8.377200603485107
95,8.079774141311646
96,8.554068803787231
97,8.779827117919922
98,8.101069688796997
99,8.257132768630981
100,7.680705547332764
